Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
YFI,2021-12-15,19997.0199294405,19598.9194925385,20426.5917024584,19291.3142934756
YFI,2021-12-16,20700.5893354196,20136.0089166049,20969.5122022692,18885.8427519044
YFI,2021-12-17,25337.2872620888,20659.5466223693,25923.4945951963,20658.7223110848
YFI,2021-12-18,32626.3092371021,24629.9273485954,33871.5680054946,24314.5978337955
YFI,2021-12-19,31701.3739152438,33637.3923475332,34671.0133519778,30281.7282183403
YFI,2021-12-20,32437.6487461541,31339.5072904079,33190.247383398,30544.1232043679
YFI,2021-12-21,37355.9120303572,31987.2729023809,39215.423953999,31490.8758465792
YFI,2021-12-22,35068.7953147221,36474.0155819398,36826.9289166061,34243.614111152
YFI,2021-12-23,31870.4065555201,34676.830831263,35204.1663069957,31729.9149540183
YFI,2021-12-24,31466.188296114,31646.3529466184,33278.7018636176,31080.4664183799
YFI,2021-12-25,32656.1042990293,31577.1242043371,32973.7375768432,30231.4621993939
YFI,2021-12-26,31221.4107731188,32543.8771052711,32931.3454555793,30811.1996154813
YFI,2021-12-27,31548.7035865317,31214.1042268703,32112.5873364919,30370.7788819651
YFI,2021-12-28,32229.3868004609,31158.1505713171,34769.2463198622,30954.0547242955
YFI,2021-12-29,29220.9582350368,31742.099629117,31760.026970703,28772.6818259264
YFI,2021-12-30,29671.3463767743,28690.3533508526,31151.2009794516,27756.8049791172
YFI,2021-12-31,29504.007018007,28695.2967572229,29894.155159741,28103.6856024558
YFI,2022-01-01,32843.9544037258,30192.0296308781,33075.5996158509,29615.3129417225
YFI,2022-01-02,36994.8305647867,33054.7870994481,38510.4238487346,32489.1914910467
YFI,2022-01-03,38932.5659574807,36554.1362463442,39468.2113125616,35793.2289501831
YFI,2022-01-04,39348.7660019809,39124.3554258869,41667.7992473936,37937.9316250842
