Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ADA,2021-05-24,1.316097,1.464388,1.539446,1.053975
ADA,2021-05-25,1.549698,1.316149,1.598487,1.260336
ADA,2021-05-26,1.554616,1.549698,1.649699,1.438893
ADA,2021-05-27,1.780377,1.554605,1.832139,1.554352
ADA,2021-05-28,1.654982,1.781186,1.78915,1.611692
ADA,2021-05-29,1.513337,1.65497,1.67915,1.450697
ADA,2021-05-30,1.40424,1.513337,1.560896,1.336614
ADA,2021-05-31,1.576804,1.404311,1.699909,1.34952
ADA,2021-06-01,1.739439,1.576756,1.749705,1.526765
ADA,2021-06-02,1.734722,1.739283,1.779068,1.655235
ADA,2021-06-03,1.753998,1.734722,1.803179,1.719443
ADA,2021-06-04,1.84478,1.753998,1.888471,1.712625
ADA,2021-06-05,1.708999,1.844816,1.847614,1.609366
ADA,2021-06-06,1.6569,1.708999,1.782624,1.60999
ADA,2021-06-07,1.676284,1.6569,1.707258,1.647823
ADA,2021-06-08,1.565126,1.676394,1.742405,1.550728
ADA,2021-06-09,1.583888,1.56524,1.595653,1.400258
ADA,2021-06-10,1.627389,1.583904,1.633432,1.484178
ADA,2021-06-11,1.531515,1.627342,1.636899,1.509349
ADA,2021-06-12,1.436284,1.531544,1.546325,1.42
ADA,2021-06-13,1.477579,1.436369,1.492789,1.358237
ADA,2021-06-14,1.558525,1.477586,1.580774,1.402381
ADA,2021-06-15,1.576426,1.55824,1.594573,1.507867
ADA,2021-06-16,1.556019,1.576426,1.611116,1.544625
ADA,2021-06-17,1.483899,1.556019,1.573927,1.474767
ADA,2021-06-18,1.481604,1.483899,1.538407,1.457438
ADA,2021-06-19,1.414747,1.481685,1.491857,1.3757
ADA,2021-06-20,1.385973,1.41486,1.440641,1.3844
ADA,2021-06-21,1.425277,1.385958,1.458957,1.306989
ADA,2021-06-22,1.174551,1.425276,1.435368,1.167908
ADA,2021-06-23,1.155402,1.174492,1.264378,1.001485
ADA,2021-06-24,1.250634,1.155546,1.308982,1.109645
ADA,2021-06-25,1.356988,1.250634,1.398814,1.201576
ADA,2021-06-26,1.253318,1.356987,1.39525,1.243761
ADA,2021-06-27,1.25134,1.253318,1.291074,1.19968
ADA,2021-06-28,1.335403,1.25134,1.34853,1.242462
ADA,2021-06-29,1.325447,1.335403,1.349784,1.305243
ADA,2021-06-30,1.371334,1.325485,1.420233,1.320292
ADA,2021-07-01,1.384311,1.371327,1.399787,1.284504
ADA,2021-07-02,1.333951,1.384458,1.386063,1.303389
ADA,2021-07-03,1.395073,1.333821,1.395312,1.285782
ADA,2021-07-04,1.405695,1.395072,1.443236,1.359248
ADA,2021-07-05,1.46156,1.405694,1.495053,1.383522
ADA,2021-07-06,1.403958,1.461651,1.461651,1.3781
ADA,2021-07-07,1.416934,1.403931,1.457114,1.39051
ADA,2021-07-08,1.403437,1.416934,1.440387,1.40051
ADA,2021-07-09,1.328311,1.403421,1.405497,1.319992
ADA,2021-07-10,1.350261,1.328194,1.374034,1.287161
ADA,2021-07-11,1.3357,1.350261,1.365359,1.318164
ADA,2021-07-12,1.348208,1.335691,1.3664,1.324317
ADA,2021-07-13,1.314107,1.348233,1.373324,1.292215
ADA,2021-07-14,1.265471,1.313989,1.320197,1.250056
ADA,2021-07-15,1.262423,1.265471,1.289076,1.199784
ADA,2021-07-16,1.22444,1.262423,1.289135,1.20601
ADA,2021-07-17,1.17214,1.22444,1.244506,1.1661
ADA,2021-07-18,1.172506,1.17214,1.194893,1.151083
ADA,2021-07-19,1.1818,1.172506,1.218122,1.167757
ADA,2021-07-20,1.122272,1.1818,1.191572,1.116357
ADA,2021-07-21,1.05551,1.122299,1.13611,1.022102
ADA,2021-07-22,1.168764,1.055487,1.2235,1.038332
ADA,2021-07-23,1.1858,1.170138,1.207514,1.1505
ADA,2021-07-24,1.207287,1.1858,1.208017,1.146883
ADA,2021-07-25,1.233726,1.207363,1.248998,1.198006
ADA,2021-07-26,1.229441,1.233742,1.239786,1.1924
ADA,2021-07-27,1.2554,1.2295,1.399703,1.223889
ADA,2021-07-28,1.2812,1.2554,1.316562,1.215402
ADA,2021-07-29,1.286749,1.2807,1.317781,1.258752
ADA,2021-07-30,1.284519,1.28675,1.2984,1.257862
ADA,2021-07-31,1.310757,1.284503,1.317739,1.249158
ADA,2021-08-01,1.319519,1.31082,1.333168,1.289072
ADA,2021-08-02,1.315696,1.319916,1.388673,1.300077
ADA,2021-08-03,1.308587,1.315519,1.350078,1.294478
ADA,2021-08-04,1.368653,1.308513,1.381277,1.262276
ADA,2021-08-05,1.3767,1.368678,1.393033,1.323089
ADA,2021-08-06,1.387,1.3767,1.398338,1.3386
ADA,2021-08-07,1.402191,1.387,1.425707,1.36239
ADA,2021-08-08,1.474575,1.402321,1.485957,1.396315
ADA,2021-08-09,1.427142,1.474575,1.495037,1.408267
ADA,2021-08-10,1.476061,1.427142,1.499885,1.3942
ADA,2021-08-11,1.678163,1.476061,1.700466,1.45845
ADA,2021-08-12,1.795209,1.67818,1.896027,1.671237
ADA,2021-08-13,1.832556,1.795207,1.868582,1.680461
ADA,2021-08-14,2.139275,1.832621,2.149996,1.823558
ADA,2021-08-15,2.191533,2.139223,2.249791,2.0855
ADA,2021-08-16,2.16885,2.191472,2.249562,2.034239
ADA,2021-08-17,2.072039,2.168823,2.196453,2.048234
ADA,2021-08-18,1.924422,2.072075,2.141441,1.906671
ADA,2021-08-19,2.103738,1.923855,2.164691,1.871685
ADA,2021-08-20,2.43982,2.1046,2.449212,2.0474
ADA,2021-08-21,2.456271,2.440567,2.58227,2.373
ADA,2021-08-22,2.4377,2.4567,2.528962,2.386938
ADA,2021-08-23,2.71001,2.4371,2.722136,2.433782
ADA,2021-08-24,2.9177,2.71065,2.969901,2.6897
ADA,2021-08-25,2.725231,2.9179,2.948434,2.591369
ADA,2021-08-26,2.741448,2.723386,2.797392,2.605187
ADA,2021-08-27,2.530801,2.741296,2.784618,2.470798
ADA,2021-08-28,2.94764,2.529831,2.947711,2.4972
ADA,2021-08-29,2.849002,2.947606,2.95,2.777009
ADA,2021-08-30,2.853846,2.849035,2.934668,2.724144
ADA,2021-08-31,2.736432,2.8535,2.886179,2.724427
ADA,2021-09-01,2.7709,2.736381,2.879796,2.703888
ADA,2021-09-02,2.870202,2.770941,2.904849,2.724495
ADA,2021-09-03,2.961836,2.870764,3.098459,2.837527
ADA,2021-09-04,2.968,2.963653,3.032558,2.904833
ADA,2021-09-05,2.832366,2.9677,2.968,2.803656
ADA,2021-09-06,2.913293,2.832535,2.957901,2.8255
ADA,2021-09-07,2.834878,2.913293,2.928489,2.804
ADA,2021-09-08,2.509762,2.8349,2.876059,2.019563
ADA,2021-09-09,2.47065,2.509743,2.565515,2.201251
ADA,2021-09-10,2.516626,2.470227,2.6221,2.388993
ADA,2021-09-11,2.383564,2.516819,2.585583,2.276416
ADA,2021-09-12,2.637296,2.382982,2.799854,2.36851
ADA,2021-09-13,2.581235,2.637296,2.789267,2.50323
ADA,2021-09-14,2.4022,2.581024,2.591957,2.312453
ADA,2021-09-15,2.396141,2.4022,2.4384,2.322394
ADA,2021-09-16,2.504554,2.398338,2.582912,2.3607
ADA,2021-09-17,2.417088,2.504777,2.5207,2.383052
ADA,2021-09-18,2.349483,2.417045,2.4409,2.314639
ADA,2021-09-19,2.370843,2.349572,2.437525,2.312493
ADA,2021-09-20,2.282842,2.370832,2.396338,2.261122
ADA,2021-09-21,2.080912,2.2829,2.2911,1.9771
ADA,2021-09-22,1.984181,2.080792,2.227223,1.912922
ADA,2021-09-23,2.2608,1.985202,2.268181,1.9689
ADA,2021-09-24,2.329441,2.2588,2.347207,2.182248
ADA,2021-09-25,2.2796,2.329441,2.3459,2.065583
ADA,2021-09-26,2.301906,2.279995,2.458988,2.239087
ADA,2021-09-27,2.208722,2.301956,2.302258,2.150067
ADA,2021-09-28,2.1315,2.2081,2.274977,2.131
ADA,2021-09-29,2.0378,2.131046,2.172799,2.029639
ADA,2021-09-30,2.064626,2.0378,2.143562,2.0204
ADA,2021-10-01,2.114636,2.065144,2.136385,2.051947
ADA,2021-10-02,2.255635,2.114553,2.274654,2.093451
ADA,2021-10-03,2.249473,2.255592,2.322088,2.195136
ADA,2021-10-04,2.253102,2.249473,2.308741,2.223003
ADA,2021-10-05,2.191188,2.253134,2.253769,2.151662
ADA,2021-10-06,2.233912,2.191203,2.258582,2.178465
ADA,2021-10-07,2.210447,2.233928,2.25,2.113659
ADA,2021-10-08,2.277562,2.2107,2.373838,2.151613
ADA,2021-10-09,2.235001,2.277562,2.3125,2.217193
ADA,2021-10-10,2.267638,2.235806,2.3,2.2209
ADA,2021-10-11,2.191283,2.268282,2.277263,2.163079
ADA,2021-10-12,2.17209,2.19029,2.249741,2.110711
ADA,2021-10-13,2.117703,2.1718,2.172186,2.072231
ADA,2021-10-14,2.188204,2.117623,2.198748,2.080997
ADA,2021-10-15,2.173712,2.188516,2.22379,2.157704
ADA,2021-10-16,2.217599,2.1739,2.241912,2.1372
ADA,2021-10-17,2.177259,2.2175,2.249211,2.171119
ADA,2021-10-18,2.157184,2.177817,2.188352,2.09464
ADA,2021-10-19,2.128244,2.157497,2.17412,2.105215
ADA,2021-10-20,2.109848,2.128244,2.156286,2.093031
ADA,2021-10-21,2.1894,2.109813,2.2092,2.092272
